city,brand,model,href,price,year,mileage,body_type,colour,engine_info,credit_per_month,transmission,drive,hand_drive,condition,owners_num,doc_unique
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097233576-2b121ffd/,720 000 ₽,2018,78 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097312002-f0adfa20/,550 000 ₽,2016,84 000 км,хэтчбек 5 дв.,коричневый,1.4 л / 107 л.с. / Бензин,2 140 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097379480-701b27c3/,510 000 ₽,2013,56 722 км,седан,серый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097485304-2e2d067e/,399 000 ₽,2012,93 000 км,седан,чёрный,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097495380-a334af7f/,650 000 ₽,2016,58 623 км,седан,серый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097513249-1673333e/,739 000 ₽,2017,58 508 км,хэтчбек 5 дв.,синий,1.4 л / 100 л.с. / Бензин,2 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097526729-b914d380/,636 000 ₽,2015,34 500 км,хэтчбек 5 дв.,чёрный,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097560790-6144c87d/,155 000 ₽,2004,220 000 км,универсал 5 дв.,серый,1.5 л / 97 л.с. / Бензин,1 940 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097569552-c8ffb81f/,330 000 ₽,2011,108 171 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097569658-3455601f/,400 000 ₽,2013,190 000 км,седан,серебристый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097574694-37e037a0/,459 000 ₽,2012,94 000 км,седан,голубой,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097579380-b874589f/,395 000 ₽,2011,123 000 км,седан,серый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097597918-01adc478/,535 000 ₽,2014,108 300 км,седан,коричневый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097602724-c0b05d56/,925 000 ₽,2019,25 000 км,седан,пурпурный,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097605078-befaaa3c/,665 000 ₽,2017,67 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097613870-d28ebc82/,128 000 ₽,2004,182 000 км,универсал 5 дв.,зелёный,1.5 л / 97 л.с. / Бензин,2 183 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097621600-fc602cf4/,870 000 ₽,2019,10 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097657264-34a95d55/,150 000 ₽,2004,267 000 км,седан,серебристый,1.5 л / 97 л.с. / Бензин,2 183 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097663616-37942335/,320 000 ₽,2010,182 000 км,седан,чёрный,1.4 л / 95 л.с. / Бензин,2 138 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097713196-92dbb8c0/,670 000 ₽,2016,99 999 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097720662-b2580e5e/,450 000 ₽,2015,63 000 км,седан,чёрный,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097740810-18102c5e/,497 000 ₽,2014,79 000 км,седан,серый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097749374-dd2fde62/,429 990 ₽,2012,117 740 км,хэтчбек 5 дв.,серый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097805046-c9becb0f/,320 000 ₽,2011,124 000 км,хэтчбек 5 дв.,серебристый,1.4 л / 95 л.с. / Бензин,2 138 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097814554-e65947a3/,495 000 ₽,2014,75 000 км,седан,серебристый,"1.4 л / 107 л.с. / Бензин, газобаллонное оборудование",3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097832054-05f4c92f/,730 000 ₽,2017,79 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097891926-a299d808/,550 000 ₽,2015,69 000 км,седан,чёрный,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097919802-42dfe84d/,495 000 ₽,2014,74 235 км,хэтчбек 5 дв.,серый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097940800-107e5abb/,560 000 ₽,2016,39 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097968432-db221449/,575 000 ₽,2014,29 000 км,седан,серый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1097971086-4b039ff6/,320 000 ₽,2010,139 000 км,хэтчбек 5 дв.,оранжевый,1.4 л / 97 л.с. / Бензин,2 183 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098005102-e398c16b/,860 000 ₽,2019,1 628 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098029996-df934da8/,600 000 ₽,2016,41 100 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098044208-99d68030/,420 000 ₽,2011,151 479 км,седан,серый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098058968-909f04f1/,554 990 ₽,2016,103 498 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098100954-383664e5/,420 000 ₽,2016,158 192 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098146392-11b3f297/,650 000 ₽,2015,60 000 км,седан,синий,1.6 л / 123 л.с. / Бензин,2 460 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098167652-840ec7fd/,575 000 ₽,2016,49 900 км,седан,чёрный,1.4 л / 107 л.с. / Бензин,2 140 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098175764-e0fae8f0/,430 000 ₽,2014,95 000 км,хэтчбек 5 дв.,серебристый,1.4 л / 107 л.с. / Бензин,2 140 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098197602-112148ef/,520 000 ₽,2014,70 000 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098212172-2fc76af5/,380 000 ₽,2012,107 000 км,седан,синий,1.4 л / 107 л.с. / Бензин,2 140 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098234134-b2dea29d/,770 000 ₽,2019,45 000 км,седан,чёрный,1.4 л / 100 л.с. / Бензин,1 000 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098279432-ea284da4/,710 000 ₽,2017,23 000 км,седан,коричневый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098288836-ae80f7f7/,140 000 ₽,2004,271 000 км,универсал 5 дв.,белый,1.5 л / 97 л.с. / Бензин,1 455 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Дубликат
