city,brand,model,price,year,mileage,body_type,colour,transmission,drive,owners_num,doc_unique,engine_type,volume,horsepower
1,1,3,575000.0,2017,41000.0,1,14,1,0,2,0,0,1.6,123.0
1,1,3,710000.0,2017,39790.0,1,1,1,0,1,1,0,1.4,100.0
1,1,3,589000.0,2017,60667.0,4,7,0,0,1,1,0,1.4,107.0
1,1,3,208000.0,2005,212958.0,4,14,1,0,3,1,0,1.4,97.0
1,1,3,420000.0,2014,170000.0,1,1,1,0,2,1,0,1.4,107.0
1,1,3,630000.0,2015,32500.0,4,12,0,0,1,1,0,1.6,123.0
1,1,3,790000.0,2018,48800.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,670000.0,2012,98203.0,1,11,0,0,2,1,0,1.6,123.0
1,1,3,475000.0,2015,119000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,370000.0,2012,150000.0,1,7,1,0,3,1,0,1.4,107.0
1,1,3,399999.0,2014,148000.0,4,1,0,0,2,1,0,1.4,107.0
1,1,3,830000.0,2019,27000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,640000.0,2016,73600.0,1,11,0,0,1,1,0,1.6,123.0
1,1,3,510000.0,2015,133000.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,925000.0,2019,35000.0,4,10,1,0,1,1,0,1.6,123.0
1,1,3,719000.0,2017,81652.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,430000.0,2012,76000.0,1,14,1,0,2,1,0,1.4,107.0
1,1,3,380000.0,2012,225600.0,1,1,1,0,3,1,0,1.4,107.0
1,1,3,380000.0,2012,90000.0,1,11,0,0,3,1,0,1.4,107.0
1,1,3,475000.0,2015,101000.0,1,0,1,0,1,1,0,1.4,107.0
1,1,3,420000.0,2014,77000.0,1,14,1,0,1,1,0,1.4,107.0
1,1,3,430000.0,2014,140000.0,1,11,1,0,2,1,0,1.4,107.0
1,1,3,630000.0,2017,15000.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,275000.0,2008,137000.0,1,11,1,0,3,1,0,1.4,97.0
1,1,3,650000.0,2017,78000.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,460000.0,2013,133000.0,1,10,0,0,3,1,0,1.6,123.0
1,1,3,565000.0,2015,78000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,485000.0,2015,45500.0,1,1,1,0,2,0,0,1.4,107.0
1,1,3,430000.0,2014,130000.0,1,1,1,0,3,1,0,1.4,107.0
1,1,3,476000.0,2013,186000.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,410000.0,2013,105000.0,1,10,1,0,2,1,0,1.4,107.0
1,1,3,724000.0,2017,43000.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,540000.0,2016,68000.0,1,1,1,0,1,0,0,1.4,107.0
1,1,3,500000.0,2014,102000.0,1,14,0,0,2,1,0,1.6,123.0
1,1,3,530000.0,2015,34200.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,320000.0,2013,348300.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,450000.0,2014,78000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,420000.0,2012,134000.0,1,11,0,0,3,1,0,1.6,123.0
1,1,3,480000.0,2013,130000.0,1,11,1,0,2,1,0,1.6,123.0
1,1,3,825000.0,2018,49000.0,1,11,0,0,1,1,0,1.6,123.0
1,1,3,330000.0,2011,168000.0,4,1,0,0,2,1,0,1.4,97.0
1,1,3,990000.0,2018,43000.0,4,1,0,0,1,1,0,1.6,123.0
1,1,3,630000.0,2016,160000.0,1,6,0,0,1,1,0,1.6,123.0
1,1,3,304000.0,2012,135000.0,4,1,1,0,2,1,0,1.4,107.0
1,1,3,445000.0,2014,100000.0,1,11,1,0,2,1,0,1.4,107.0
1,1,3,400000.0,2011,94000.0,1,12,1,0,2,1,0,1.4,107.0
1,1,3,470000.0,2015,90000.0,1,11,1,0,2,1,0,1.4,107.0
1,1,3,400000.0,2012,143000.0,1,11,1,0,3,0,0,1.6,123.0
1,1,3,630000.0,2017,70000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,640000.0,2017,50000.0,4,10,1,0,2,1,0,1.6,123.0
1,1,3,695000.0,2017,71000.0,1,14,1,0,2,1,0,1.6,123.0
1,1,3,575000.0,2017,59000.0,4,14,1,0,1,1,0,1.4,107.0
1,1,3,535000.0,2014,68000.0,1,1,0,0,2,1,0,1.6,123.0
1,1,3,600000.0,2014,71000.0,4,1,0,0,2,1,0,1.6,123.0
1,1,3,320000.0,2005,164536.0,1,8,1,0,3,1,0,1.4,97.0
1,1,3,610000.0,2015,79200.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,485000.0,2014,95000.0,1,7,1,0,1,1,0,1.4,107.0
1,1,3,740000.0,2018,30000.0,4,1,1,0,3,1,0,1.4,100.0
1,1,3,500000.0,2014,93000.0,4,1,0,0,3,0,0,1.6,123.0
1,1,3,660000.0,2017,36444.0,1,6,1,0,1,1,0,1.4,107.0
1,1,3,488000.0,2012,85000.0,1,10,1,0,3,1,0,1.6,123.0
1,1,3,530000.0,2013,66750.0,1,7,1,0,2,1,0,1.6,123.0
1,1,3,613000.0,2016,88000.0,1,6,1,0,1,1,0,1.6,123.0
1,1,3,550000.0,2017,200000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,517000.0,2013,72000.0,1,7,1,0,1,1,0,1.6,123.0
1,1,3,600000.0,2015,69000.0,1,14,0,0,2,1,0,1.6,123.0
1,1,3,460000.0,2013,73000.0,4,10,1,0,2,1,0,1.6,123.0
1,1,3,220000.0,2006,133000.0,1,14,1,0,2,1,0,1.4,97.0
1,1,3,460000.0,2012,67333.0,4,11,1,0,2,1,0,1.6,123.0
1,1,3,450000.0,2015,82000.0,1,14,1,0,3,1,0,1.4,107.0
1,1,3,475000.0,2012,153000.0,1,14,0,0,3,1,0,1.6,123.0
1,1,3,325000.0,2010,156000.0,4,10,1,0,3,0,0,1.4,95.0
1,1,3,515000.0,2014,87610.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,480000.0,2012,122596.0,1,7,0,0,2,1,0,1.6,123.0
1,1,3,470000.0,2015,70000.0,1,14,1,0,2,1,0,1.4,107.0
1,1,3,620000.0,2015,45000.0,1,10,1,0,2,1,0,1.6,123.0
1,1,3,600000.0,2016,48000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,499000.0,2016,137800.0,1,1,1,0,2,1,0,1.6,123.0
1,1,3,746000.0,2017,31948.0,4,12,0,0,1,1,0,1.4,100.0
1,1,3,740000.0,2017,52883.0,4,12,0,0,1,1,0,1.4,100.0
1,1,3,744000.0,2017,65138.0,4,12,0,0,1,1,0,1.4,100.0
1,1,3,800000.0,2018,39500.0,4,11,1,0,1,1,0,1.6,123.0
1,1,3,279000.0,2010,150000.0,1,14,1,0,3,1,0,1.4,95.0
1,1,3,730000.0,2017,95000.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,399000.0,2014,94800.0,4,10,1,0,2,1,0,1.6,123.0
1,1,3,510000.0,2017,150000.0,1,0,1,0,2,1,0,1.4,100.0
1,1,3,560000.0,2017,170000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,395000.0,2012,47400.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,474820.0,2013,109740.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,345000.0,2012,153000.0,1,1,1,0,3,1,0,1.4,107.0
1,1,3,520000.0,2013,77000.0,1,1,0,0,3,1,0,1.6,123.0
1,1,3,560000.0,2015,34400.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,570000.0,2013,36000.0,4,11,0,0,1,1,0,1.4,107.0
1,1,3,649000.0,2016,69288.0,1,1,1,0,1,1,0,1.6,123.0
1,1,3,520000.0,2015,64000.0,1,14,1,0,1,1,0,1.4,107.0
1,1,3,544323.0,2016,105156.0,1,11,1,0,1,1,0,1.4,107.0
1,1,3,490000.0,2012,125000.0,1,10,0,0,3,1,0,1.6,123.0
1,1,3,590000.0,2016,75000.0,4,11,0,0,2,1,0,1.6,123.0
1,1,3,349000.0,2012,122000.0,1,1,1,0,3,1,0,1.4,107.0
1,1,3,150000.0,2003,287000.0,1,10,1,0,2,1,0,1.5,98.0
1,1,3,855000.0,2019,14700.0,1,14,1,0,1,1,0,1.6,123.0
1,1,3,509780.0,2016,98190.0,1,6,1,0,1,1,0,1.6,123.0
1,1,3,429000.0,2011,85500.0,1,2,1,0,1,1,0,1.4,107.0
1,1,3,699000.0,2020,1.0,1,10,1,0,1,1,0,1.6,123.0
1,1,3,620000.0,2015,85000.0,1,14,0,0,3,1,0,1.6,123.0
1,1,3,875000.0,2019,9000.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,150000.0,2003,250000.0,1,5,0,0,1,1,0,1.6,105.0
1,1,3,530000.0,2013,60400.0,4,1,1,0,1,1,0,1.6,123.0
1,1,3,630000.0,2016,48568.0,1,14,1,0,3,1,0,1.6,123.0
1,1,3,420000.0,2012,84800.0,1,14,1,0,2,1,0,1.4,107.0
1,1,3,950000.0,2019,14500.0,1,11,0,0,1,1,0,1.6,123.0
1,1,3,120000.0,2003,190000.0,1,10,1,0,3,0,0,1.5,98.0
1,1,3,330000.0,2011,156000.0,1,10,0,0,3,0,0,1.4,97.0
1,1,3,545000.0,2014,64887.0,1,6,1,0,2,1,0,1.4,107.0
1,1,3,512000.0,2016,127000.0,1,10,1,0,1,1,0,1.6,123.0
1,1,3,577000.0,2016,94450.0,1,6,0,0,1,1,0,1.4,107.0
1,1,3,599000.0,2017,60985.0,1,1,1,0,1,1,0,1.4,100.0
1,1,3,940000.0,2019,13000.0,4,10,0,0,1,1,0,1.6,123.0
1,1,3,470000.0,2015,111323.0,1,1,0,0,3,1,0,1.4,107.0
1,1,3,460000.0,2017,151000.0,1,1,1,0,1,1,0,1.4,107.0
1,1,3,619000.0,2016,96600.0,1,10,0,0,1,1,0,1.6,123.0
1,1,3,350000.0,2011,135000.0,4,11,1,0,3,1,0,1.4,95.0
1,1,3,815000.0,2019,21552.0,1,6,1,0,1,1,0,1.6,123.0
1,1,3,580000.0,2014,64810.0,1,1,0,0,1,1,0,1.6,123.0
1,1,3,549000.0,2016,149000.0,1,11,1,0,2,1,0,1.6,123.0
