city,brand,model,price,year,mileage,body_type,colour,annual_car_tax,transmission,drive,hand_drive,owners_num,doc_unique,engine_type,volume,horsepower
kazan,kia,rio,790000.0,2019,12300.0,седан,белый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,390000.0,2013,138000.0,седан,красный,4305.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,570000.0,2014,117000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,395000.0,2013,126000.0,седан,чёрный,3690.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,440000.0,2011,155000.0,седан,красный,3920.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,112.0
kazan,kia,rio,485000.0,2014,160000.0,седан,белый,3444.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,390000.0,2012,150000.0,седан,белый,4305.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,520000.0,2015,98000.0,седан,чёрный,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,765000.0,2017,38669.0,хэтчбек 5 дв.,синий,1600.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,290000.0,2010,104000.0,хэтчбек 5 дв.,серый,1520.0,механическая,передний,Левый,3,Дубликат,Бензин,1.4,95.0
kazan,kia,rio,425000.0,2014,128000.0,седан,белый,3745.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,480000.0,2013,132135.0,седан,синий,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,390000.0,2012,144000.0,седан,зелёный,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,800000.0,2019,33000.0,седан,белый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,390000.0,2010,92000.0,седан,красный,2037.0,автоматическая,передний,Левый,3,Дубликат,Бензин,1.4,97.0
kazan,kia,rio,465000.0,2012,87000.0,седан,чёрный,3567.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,850000.0,2018,11000.0,седан,коричневый,3567.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,745000.0,2019,19100.0,седан,чёрный,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,535000.0,2014,156000.0,седан,чёрный,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,530000.0,2015,135000.0,седан,синий,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,596000.0,2017,59326.0,хэтчбек 5 дв.,чёрный,2568.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,145000.0,2005,200000.0,универсал 5 дв.,фиолетовый,970.0,механическая,передний,Левый,3,Дубликат,Бензин,1.5,97.0
kazan,kia,rio,555000.0,2016,59500.0,седан,чёрный,4305.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,270000.0,2010,186000.0,седан,серебристый,950.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.4,95.0
kazan,kia,rio,365000.0,2014,89750.0,седан,чёрный,3690.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,800000.0,2019,24000.0,седан,серый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,675000.0,2016,40000.0,седан,серебристый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,490000.0,2013,146000.0,седан,белый,3690.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,560000.0,2015,48600.0,седан,серебристый,2568.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,840000.0,2018,25000.0,седан,белый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,745000.0,2018,59000.0,хэтчбек 5 дв.,серый,3690.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,575000.0,2017,41000.0,седан,чёрный,3690.0,механическая,передний,Левый,2,Дубликат,Бензин,1.6,123.0
kazan,kia,rio,710000.0,2017,39790.0,седан,белый,1600.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,589000.0,2017,60667.0,хэтчбек 5 дв.,красный,2568.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,208000.0,2005,212958.0,хэтчбек 5 дв.,чёрный,970.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,420000.0,2014,170000.0,седан,белый,3745.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,630000.0,2015,32500.0,хэтчбек 5 дв.,синий,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,790000.0,2018,48800.0,седан,серебристый,4305.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,670000.0,2012,98203.0,седан,серый,4305.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,475000.0,2015,119000.0,седан,белый,2568.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,370000.0,2012,150000.0,седан,красный,3103.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
